age,subscription_type,watch_hours,last_login_days,monthly_fee,churned,number_of_profiles,avg_watch_time_per_day,gender_Female,gender_Male,gender_Other,region_Africa,region_Asia,region_Europe,region_North America,region_Oceania,region_South America,device_Desktop,device_Laptop,device_Mobile,device_TV,device_Tablet,payment_method_Credit Card,payment_method_Crypto,payment_method_Debit Card,payment_method_Gift Card,payment_method_PayPal,favorite_genre_Action,favorite_genre_Comedy,favorite_genre_Documentary,favorite_genre_Drama,favorite_genre_Horror,favorite_genre_Romance,favorite_genre_Sci-Fi
26,2.0,15.42,36,17.99,0,4,0.42,0.0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
28,1.0,22.26,38,13.99,0,5,0.57,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
47,1.0,7.92,23,13.99,0,1,0.33,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
49,0.0,5.26,33,8.99,1,3,0.15,1.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
39,0.0,10.97,10,8.99,0,1,1.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
32,2.0,40.94,7,17.99,0,1,5.12,1.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
46,2.0,1.25,13,17.99,1,3,0.09,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
48,1.0,8.12,32,13.99,1,2,0.25,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
68,2.0,7.67,40,17.99,0,4,0.19,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
21,1.0,15.53,27,13.99,0,1,0.55,1.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
60,0.0,31.9,4,8.99,0,2,6.38,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
70,2.0,7.97,57,17.99,1,5,0.14,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
53,1.0,43.02,43,13.99,0,1,0.98,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
36,1.0,34.6,19,13.99,0,3,1.73,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
55,0.0,24.58,18,8.99,0,1,1.29,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
45,1.0,7.39,6,13.99,0,1,1.06,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
24,2.0,6.92,13,17.99,0,2,0.49,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
30,2.0,1.37,55,17.99,1,1,0.02,0.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
69,0.0,24.56,53,8.99,1,1,0.45,1.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
47,1.0,15.87,52,13.99,1,1,0.3,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
49,1.0,7.62,27,13.99,0,3,0.27,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
67,1.0,3.05,29,13.99,1,1,0.1,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
23,2.0,13.31,34,17.99,1,2,0.38,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
67,0.0,1.56,0,8.99,0,5,1.56,0.0,1.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
57,2.0,0.97,32,17.99,1,2,0.03,0.0,1.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
55,1.0,21.58,48,13.99,0,5,0.44,0.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
35,1.0,22.59,16,13.99,0,2,1.33,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
22,1.0,9.69,35,13.99,1,4,0.27,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
34,2.0,12.82,45,17.99,1,2,0.28,0.0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
19,1.0,4.34,1,13.99,0,1,2.17,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
25,2.0,15.95,15,17.99,0,1,1.0,1.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
49,2.0,2.05,14,17.99,0,5,0.14,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
55,2.0,3.86,25,17.99,1,3,0.15,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
36,0.0,1.68,10,8.99,1,4,0.15,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
27,2.0,46.88,56,17.99,0,3,0.82,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
49,1.0,4.22,50,13.99,1,2,0.08,0.0,1.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
54,0.0,26.88,44,8.99,0,3,0.6,1.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
31,1.0,2.23,39,13.99,1,5,0.06,1.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
31,2.0,14.15,24,17.99,0,5,0.57,0.0,1.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
42,0.0,49.49,39,8.99,0,5,1.24,1.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
30,2.0,8.79,21,17.99,0,4,0.4,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
58,1.0,14.57,22,13.99,0,2,0.63,0.0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
63,1.0,25.73,11,13.99,0,1,2.14,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
60,1.0,3.01,30,13.99,1,3,0.1,0.0,1.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
66,0.0,12.05,33,8.99,1,3,0.35,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
51,2.0,3.7,37,17.99,1,2,0.1,1.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
63,2.0,5.84,20,17.99,0,1,0.28,0.0,1.0,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
31,0.0,48.35,11,8.99,0,5,4.03,0.0,1.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
55,1.0,2.89,37,13.99,1,4,0.08,0.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
38,2.0,29.84,56,17.99,0,4,0.52,0.0,1.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
65,1.0,19.33,31,13.99,0,1,0.6,0.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
43,2.0,2.5,33,17.99,1,3,0.07,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
63,2.0,6.97,31,17.99,1,1,0.22,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
64,1.0,3.66,6,13.99,0,1,0.52,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
58,0.0,30.85,46,8.99,0,5,0.66,1.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
31,1.0,1.77,34,13.99,1,3,0.05,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
62,1.0,16.65,41,13.99,1,3,0.4,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
35,1.0,25.08,2,13.99,0,5,8.36,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
34,1.0,23.2,18,13.99,0,1,1.22,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
65,2.0,37.82,31,17.99,0,3,1.18,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
68,1.0,28.44,55,13.99,0,3,0.51,0.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
46,1.0,13.38,3,13.99,0,2,3.35,0.0,0.0,1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
62,1.0,14.8,40,13.99,1,5,0.36,1.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
63,2.0,3.39,57,17.99,1,4,0.06,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
62,2.0,13.15,11,17.99,0,1,1.1,1.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
41,0.0,15.26,21,8.99,0,5,0.69,0.0,1.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
27,2.0,79.17,12,17.99,0,2,6.09,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
60,0.0,9.13,43,8.99,1,1,0.21,1.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
60,2.0,3.29,20,17.99,1,2,0.16,0.0,1.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
58,1.0,9.52,51,13.99,1,1,0.18,1.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
18,1.0,3.56,23,13.99,0,4,0.15,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
48,2.0,11.1,41,17.99,1,5,0.26,0.0,0.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
26,1.0,23.13,27,13.99,0,2,0.83,0.0,0.0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21,2.0,9.91,27,17.99,0,2,0.35,0.0,1.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
46,0.0,6.22,36,8.99,1,2,0.17,0.0,0.0,1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
62,2.0,0.45,20,17.99,0,5,0.02,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
35,1.0,17.53,38,13.99,1,1,0.45,1.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
61,1.0,4.52,21,13.99,1,2,0.21,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
37,0.0,9.69,24,8.99,0,4,0.39,0.0,1.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
46,1.0,5.78,4,13.99,0,2,1.16,1.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
41,2.0,18.87,9,17.99,0,3,1.89,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
21,2.0,4.89,3,17.99,0,4,1.22,1.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
55,2.0,1.66,54,17.99,1,4,0.03,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
64,2.0,4.42,17,17.99,1,3,0.25,1.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
36,2.0,13.38,22,17.99,0,4,0.58,0.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
67,2.0,9.87,6,17.99,0,3,1.41,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
23,2.0,23.6,56,17.99,0,4,0.41,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
19,0.0,3.89,33,8.99,1,1,0.11,0.0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,2.0,3.4,33,17.99,1,5,0.1,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
50,1.0,3.58,54,13.99,1,4,0.07,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
33,2.0,31.11,39,17.99,0,4,0.78,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
31,2.0,2.81,39,17.99,1,5,0.07,0.0,0.0,1.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20,1.0,9.87,29,13.99,0,3,0.33,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
18,0.0,35.52,40,8.99,0,3,0.87,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
31,2.0,4.6,1,17.99,0,1,2.3,0.0,1.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
47,2.0,14.24,37,17.99,1,2,0.37,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
49,0.0,2.9,46,8.99,1,2,0.06,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30,0.0,24.74,17,8.99,0,5,1.37,1.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
22,0.0,2.93,27,8.99,1,2,0.1,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
61,1.0,5.98,1,13.99,0,5,2.99,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
59,2.0,24.59,49,17.99,0,3,0.49,0.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
42,2.0,18.17,2,17.99,0,4,6.06,0.0,1.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
21,0.0,13.97,14,8.99,0,3,0.93,1.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
35,0.0,4.58,42,8.99,1,4,0.11,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
32,0.0,17.18,22,8.99,0,4,0.75,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
65,2.0,4.89,6,17.99,0,1,0.7,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
59,1.0,6.77,22,13.99,0,1,0.29,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
70,0.0,1.28,52,8.99,1,5,0.02,0.0,0.0,1.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
63,2.0,8.54,51,17.99,0,5,0.16,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
29,0.0,17.58,2,8.99,0,1,5.86,0.0,0.0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
30,0.0,9.28,44,8.99,1,4,0.21,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
52,0.0,6.18,41,8.99,1,3,0.15,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
49,1.0,5.88,40,13.99,1,2,0.14,0.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
33,1.0,2.86,30,13.99,1,5,0.09,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
22,0.0,3.71,28,8.99,1,1,0.13,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
29,0.0,1.7,43,8.99,1,5,0.04,0.0,1.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
67,1.0,1.02,20,13.99,1,1,0.05,1.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
53,2.0,1.36,35,17.99,1,2,0.04,1.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
40,2.0,12.26,3,17.99,0,5,3.06,0.0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
56,2.0,1.43,16,17.99,1,2,0.08,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
35,0.0,26.9,49,8.99,0,2,0.54,1.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
54,0.0,3.13,16,8.99,1,5,0.18,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
19,0.0,3.72,11,8.99,1,5,0.31,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
28,2.0,16.17,46,17.99,1,4,0.34,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
19,0.0,5.18,43,8.99,1,4,0.12,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
34,0.0,1.89,59,8.99,1,5,0.03,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
19,2.0,8.03,1,17.99,0,3,4.01,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
45,0.0,3.4,27,8.99,1,3,0.12,0.0,0.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
50,0.0,0.11,1,8.99,1,2,0.06,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
47,1.0,40.12,55,13.99,0,1,0.72,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
40,1.0,32.88,36,13.99,0,4,0.89,1.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
41,1.0,6.26,16,13.99,0,4,0.37,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
48,2.0,16.78,2,17.99,0,1,5.59,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
67,1.0,3.29,25,13.99,1,1,0.13,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
59,0.0,20.11,40,8.99,1,2,0.49,1.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
60,1.0,19.36,45,13.99,1,2,0.42,1.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
33,0.0,2.27,20,8.99,1,3,0.11,0.0,1.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
24,0.0,2.42,56,8.99,1,3,0.04,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
23,0.0,10.85,13,8.99,0,3,0.78,0.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
34,2.0,9.59,28,17.99,0,4,0.33,0.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
30,2.0,7.24,40,17.99,0,5,0.18,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
69,1.0,7.85,43,13.99,1,5,0.18,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
70,0.0,6.8,6,8.99,0,4,0.97,1.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
42,2.0,0.88,33,17.99,1,1,0.03,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
34,2.0,12.48,53,17.99,1,2,0.23,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
51,2.0,2.04,6,17.99,0,2,0.29,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
27,2.0,4.57,24,17.99,1,4,0.18,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
19,1.0,19.23,20,13.99,0,3,0.92,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
18,1.0,16.81,56,13.99,1,2,0.29,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
23,2.0,8.17,38,17.99,1,3,0.21,0.0,0.0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
23,0.0,7.09,32,8.99,1,2,0.21,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
50,2.0,7.92,58,17.99,1,4,0.13,1.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
54,1.0,10.1,40,13.99,0,5,0.25,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
68,0.0,9.07,32,8.99,1,3,0.27,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
